customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag
6865-JZNKO,FEMALE,NO,NO,NO,30,YES,NO,DSL,YES,YES,NO,NO,NO,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),55.3,1530.6,NO,0
6467-CHFZW,MALE,NO,YES,YES,47,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,99.35,4749.15,YES,1
8665-UTDHZ,MALE,NO,YES,YES,1,NO,NO PHONE SERVICE,DSL,NO,YES,NO,NO,NO,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,30.2,30.2,YES,1
5248-YGIJN,MALE,NO,YES,NO,72,YES,YES,DSL,YES,YES,YES,YES,YES,YES,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),90.25,6369.45,NO,0
8773-HHUOZ,FEMALE,NO,NO,YES,17,YES,NO,DSL,NO,NO,NO,NO,YES,YES,MONTH-TO-MONTH,YES,MAILED CHECK,64.7,1093.1,YES,1
3841-NFECX,FEMALE,YES,YES,NO,71,YES,YES,FIBER OPTIC,YES,YES,YES,YES,NO,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),96.35,6766.95,NO,0
4929-XIHVW,MALE,YES,YES,NO,2,YES,NO,FIBER OPTIC,NO,NO,YES,NO,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),95.5,181.65,NO,0
6827-IEAUQ,FEMALE,NO,YES,YES,27,YES,NO,DSL,YES,YES,YES,YES,NO,NO,ONE YEAR,NO,MAILED CHECK,66.15,1874.45,NO,0
7310-EGVHZ,MALE,NO,NO,NO,1,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),20.2,20.2,NO,0
3413-BMNZE,MALE,YES,NO,NO,1,YES,NO,DSL,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),45.25,45.25,NO,0
6234-RAAPL,FEMALE,NO,YES,YES,72,YES,YES,FIBER OPTIC,YES,YES,NO,YES,YES,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),99.9,7251.7,NO,0
6047-YHPVI,MALE,NO,NO,NO,5,YES,NO,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,69.7,316.9,YES,1
6572-ADKRS,FEMALE,NO,NO,NO,46,YES,NO,FIBER OPTIC,NO,NO,YES,NO,NO,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),74.8,3548.3,NO,0
5380-WJKOV,MALE,NO,NO,NO,34,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,106.35,3549.25,YES,1
8168-UQWWF,FEMALE,NO,NO,NO,11,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),97.85,1105.4,YES,1
8865-TNMNX,MALE,NO,YES,YES,10,YES,NO,DSL,NO,YES,NO,NO,NO,NO,ONE YEAR,NO,MAILED CHECK,49.55,475.7,NO,0
9489-DEDVP,FEMALE,NO,YES,YES,70,YES,YES,DSL,YES,YES,NO,NO,YES,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),69.2,4872.35,NO,0
9867-JCZSP,FEMALE,NO,YES,YES,17,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,ONE YEAR,NO,MAILED CHECK,20.75,418.25,NO,0
4671-VJLCL,FEMALE,NO,NO,NO,63,YES,YES,DSL,YES,YES,YES,YES,YES,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),79.85,4861.45,NO,0
4080-IIARD,FEMALE,NO,YES,NO,13,YES,YES,DSL,YES,YES,NO,YES,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,76.2,981.45,NO,0
3714-NTNFO,FEMALE,NO,NO,NO,49,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,84.5,3906.7,NO,0
5948-UJZLF,MALE,NO,NO,NO,2,YES,NO,DSL,NO,YES,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,49.25,97.0,NO,0
7760-OYPDY,FEMALE,NO,NO,NO,2,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,80.65,144.15,YES,1
7639-LIAYI,MALE,NO,NO,NO,52,YES,YES,DSL,YES,NO,NO,YES,YES,YES,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),79.75,4217.8,NO,0
2954-PIBKO,FEMALE,NO,YES,YES,69,YES,YES,DSL,YES,NO,YES,YES,NO,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),64.15,4254.1,NO,0
8012-SOUDQ,FEMALE,YES,NO,NO,43,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,90.25,3838.75,NO,0
9420-LOJKX,FEMALE,NO,NO,NO,15,YES,NO,FIBER OPTIC,YES,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),99.1,1426.4,YES,1
6575-SUVOI,FEMALE,YES,YES,NO,25,YES,YES,DSL,YES,NO,NO,YES,YES,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),69.5,1752.65,NO,0
7495-OOKFY,FEMALE,YES,YES,NO,8,YES,YES,FIBER OPTIC,NO,YES,NO,NO,NO,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),80.65,633.3,YES,1
4667-QONEA,FEMALE,YES,YES,YES,60,YES,NO,DSL,YES,YES,YES,YES,NO,YES,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),74.85,4456.35,NO,0
1658-BYGOY,MALE,YES,NO,NO,18,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,95.45,1752.55,YES,1
8769-KKTPH,FEMALE,NO,YES,YES,63,YES,YES,FIBER OPTIC,YES,NO,NO,NO,YES,YES,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),99.65,6311.2,NO,0
5067-XJQFU,MALE,YES,YES,YES,66,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,ONE YEAR,YES,ELECTRONIC CHECK,108.45,7076.35,NO,0
3957-SQXML,FEMALE,NO,YES,YES,34,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),24.95,894.3,NO,0
5954-BDFSG,FEMALE,NO,NO,NO,72,YES,YES,FIBER OPTIC,NO,NO,YES,YES,YES,YES,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),107.5,7853.7,NO,0
0434-CSFON,FEMALE,NO,YES,NO,47,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,100.5,4707.1,NO,0
1215-FIGMP,MALE,NO,NO,NO,60,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),89.9,5450.7,NO,0
0526-SXDJP,MALE,NO,YES,NO,72,NO,NO PHONE SERVICE,DSL,YES,YES,YES,NO,NO,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),42.1,2962.0,NO,0
0557-ASKVU,FEMALE,NO,YES,YES,18,YES,NO,DSL,NO,NO,YES,YES,NO,NO,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),54.4,957.1,NO,0
5698-BQJOH,FEMALE,NO,NO,NO,9,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,YES,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,94.4,857.25,YES,1
5122-CYFXA,FEMALE,NO,NO,NO,3,YES,NO,DSL,NO,YES,NO,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,75.3,244.1,NO,0
8627-ZYGSZ,MALE,NO,YES,NO,47,YES,YES,FIBER OPTIC,NO,YES,NO,NO,NO,NO,ONE YEAR,YES,ELECTRONIC CHECK,78.9,3650.35,NO,0
3410-YOQBQ,FEMALE,NO,NO,NO,31,YES,NO,DSL,NO,YES,YES,YES,YES,YES,TWO YEAR,NO,MAILED CHECK,79.2,2497.2,NO,0
3170-NMYVV,FEMALE,NO,YES,YES,50,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),20.15,930.9,NO,0
7410-OIEDU,MALE,NO,NO,NO,10,YES,NO,FIBER OPTIC,YES,NO,YES,NO,NO,NO,MONTH-TO-MONTH,YES,MAILED CHECK,79.85,887.35,NO,0
2273-QCKXA,MALE,NO,NO,NO,1,YES,NO,DSL,NO,NO,NO,YES,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,49.05,49.05,NO,0
0731-EBJQB,FEMALE,NO,YES,YES,52,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,ONE YEAR,YES,ELECTRONIC CHECK,20.4,1090.65,NO,0
1891-QRQSA,MALE,YES,YES,YES,64,YES,YES,FIBER OPTIC,YES,NO,YES,YES,YES,YES,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),111.6,7099.0,NO,0
8028-PNXHQ,MALE,NO,YES,YES,62,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),24.25,1424.6,NO,0
5630-AHZIL,FEMALE,NO,NO,YES,3,YES,NO,DSL,YES,NO,NO,YES,NO,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),64.5,177.4,NO,0
2673-CXQEU,FEMALE,YES,NO,NO,56,YES,YES,FIBER OPTIC,YES,YES,YES,NO,YES,YES,ONE YEAR,NO,ELECTRONIC CHECK,110.5,6139.5,NO,0
6416-JNVRK,FEMALE,NO,NO,NO,46,YES,NO,DSL,NO,NO,NO,NO,NO,YES,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),55.65,2688.85,NO,0
5590-ZSKRV,FEMALE,NO,YES,YES,8,YES,NO,DSL,YES,YES,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,54.65,482.25,NO,0
0191-ZHSKZ,MALE,YES,NO,NO,30,YES,NO,DSL,YES,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,74.75,2111.3,NO,0
3887-PBQAO,FEMALE,NO,YES,YES,45,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),25.9,1216.6,NO,0
5919-TMRGD,FEMALE,NO,NO,YES,1,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,79.35,79.35,YES,1
8108-UXRQN,FEMALE,NO,YES,YES,11,NO,NO PHONE SERVICE,DSL,YES,NO,NO,NO,YES,YES,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,50.55,565.35,NO,0
9191-MYQKX,FEMALE,NO,YES,NO,7,YES,NO,FIBER OPTIC,NO,NO,YES,NO,NO,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),75.15,496.9,YES,1
9919-YLNNG,FEMALE,NO,NO,NO,42,YES,NO,FIBER OPTIC,NO,YES,YES,YES,YES,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),103.8,4327.5,NO,0
0318-ZOPWS,FEMALE,NO,YES,NO,49,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),20.15,973.35,NO,0
4445-ZJNMU,MALE,NO,NO,NO,9,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),99.3,918.75,NO,0
4808-YNLEU,FEMALE,NO,YES,NO,35,YES,NO,DSL,YES,NO,NO,NO,YES,NO,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),62.15,2215.45,NO,0
1862-QRWPE,FEMALE,NO,YES,YES,48,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),20.65,1057.0,NO,0
2796-NNUFI,FEMALE,NO,YES,YES,46,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,YES,MAILED CHECK,19.95,927.1,NO,0
3016-KSVCP,MALE,NO,YES,NO,29,NO,NO PHONE SERVICE,DSL,NO,NO,NO,NO,YES,NO,MONTH-TO-MONTH,NO,MAILED CHECK,33.75,1009.25,NO,0
4767-HZZHQ,MALE,NO,YES,YES,30,YES,NO,FIBER OPTIC,NO,YES,YES,NO,NO,NO,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),82.05,2570.2,NO,0
2424-WVHPL,MALE,YES,NO,NO,1,YES,NO,FIBER OPTIC,NO,NO,NO,YES,NO,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,74.7,74.7,NO,0
7233-PAHHL,MALE,NO,YES,YES,66,YES,YES,DSL,YES,NO,YES,YES,YES,YES,TWO YEAR,YES,MAILED CHECK,84.0,5714.25,NO,0
6067-NGCEU,FEMALE,NO,NO,NO,65,YES,YES,FIBER OPTIC,YES,YES,YES,NO,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),111.05,7107.0,NO,0
9848-JQJTX,MALE,NO,NO,NO,72,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),100.9,7459.05,NO,0
8637-XJIVR,FEMALE,NO,NO,NO,12,YES,YES,FIBER OPTIC,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,78.95,927.35,YES,1
9803-FTJCG,MALE,NO,YES,YES,71,YES,YES,DSL,YES,YES,NO,YES,NO,NO,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),66.85,4748.7,NO,0
0278-YXOOG,MALE,NO,NO,NO,5,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,MAILED CHECK,21.05,113.85,YES,1
3212-KXOCR,MALE,NO,NO,NO,52,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),21.0,1107.2,NO,0
4598-XLKNJ,FEMALE,YES,YES,NO,25,YES,NO,FIBER OPTIC,NO,YES,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,98.5,2514.5,YES,1
6380-ARCEH,MALE,NO,NO,NO,1,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,MAILED CHECK,20.2,20.2,NO,0
3679-XASPY,FEMALE,NO,YES,YES,1,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,19.45,19.45,NO,0
7123-WQUHX,MALE,NO,NO,NO,38,YES,YES,FIBER OPTIC,NO,NO,YES,YES,YES,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),95.0,3605.6,NO,0
5386-THSLQ,FEMALE,YES,YES,NO,66,NO,NO PHONE SERVICE,DSL,NO,YES,YES,NO,YES,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),45.55,3027.25,NO,0
3192-NQECA,MALE,NO,YES,NO,68,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),110.0,7611.85,YES,1
6180-YBIQI,MALE,NO,NO,NO,5,NO,NO PHONE SERVICE,DSL,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,24.3,100.2,NO,0
6728-DKUCO,FEMALE,NO,YES,YES,72,YES,YES,FIBER OPTIC,YES,YES,NO,NO,YES,YES,ONE YEAR,YES,ELECTRONIC CHECK,104.15,7303.05,NO,0
9750-BOOHV,FEMALE,NO,NO,NO,32,NO,NO PHONE SERVICE,DSL,YES,NO,NO,NO,NO,NO,ONE YEAR,NO,MAILED CHECK,30.15,927.65,NO,0
8597-CWYHH,MALE,NO,NO,NO,43,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,YES,ONE YEAR,NO,MAILED CHECK,94.35,3921.3,NO,0
2848-YXSMW,MALE,NO,YES,YES,72,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),19.4,1363.25,NO,0
0486-HECZI,MALE,NO,YES,NO,55,YES,YES,FIBER OPTIC,YES,YES,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,96.75,5238.9,YES,1
4549-ZDQYY,FEMALE,NO,NO,NO,52,YES,NO,DSL,YES,NO,YES,YES,NO,NO,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),57.95,3042.25,NO,0
5712-AHQNN,FEMALE,NO,NO,NO,43,YES,NO,FIBER OPTIC,NO,YES,YES,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,91.65,3954.1,NO,0
4846-WHAFZ,FEMALE,YES,YES,NO,37,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,76.5,2868.15,YES,1
5256-SKJGO,FEMALE,NO,YES,YES,64,NO,NO PHONE SERVICE,DSL,NO,YES,NO,YES,YES,YES,TWO YEAR,YES,ELECTRONIC CHECK,54.6,3423.5,NO,0
3071-VBYPO,MALE,NO,YES,YES,3,YES,NO,FIBER OPTIC,YES,YES,NO,NO,YES,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,89.85,248.4,NO,0
9560-BBZXK,FEMALE,NO,NO,NO,36,NO,NO PHONE SERVICE,DSL,YES,NO,NO,NO,NO,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),31.05,1126.35,NO,0
5299-RULOA,FEMALE,NO,YES,YES,10,YES,YES,FIBER OPTIC,YES,NO,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,100.25,1064.65,YES,1
8402-OOOHJ,FEMALE,NO,NO,NO,41,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,MAILED CHECK,20.65,835.15,NO,0
9445-ZUEQE,MALE,NO,YES,YES,27,YES,YES,FIBER OPTIC,NO,YES,NO,YES,NO,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),85.2,2151.6,NO,0
1091-SOZGA,FEMALE,NO,YES,YES,56,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),99.8,5515.45,NO,0
2928-HLDBA,FEMALE,NO,NO,NO,6,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,MAILED CHECK,20.7,112.75,NO,0
0404-SWRVG,MALE,NO,NO,NO,3,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,74.4,229.55,YES,1
6497-TILVL,FEMALE,NO,YES,YES,7,YES,NO,DSL,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,50.7,350.35,NO,0
7219-TLZHO,FEMALE,NO,YES,YES,4,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,MAILED CHECK,20.85,62.9,NO,0
